{'pitch': -2.32, 'roll': -1.88, 'pitch_output': -0.31999999999999984, 'roll_output': 1.88, 'servo1_output': 3.56, 'servo2_output': -0.19999999999999973, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 299.55, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.698, 'servo2': 7.489}
{'pitch': -2.32, 'roll': -1.88, 'pitch_output': -0.31999999999999984, 'roll_output': 1.88, 'servo1_output': 3.56, 'servo2_output': -0.19999999999999973, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 155.98, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.698, 'servo2': 7.489}
{'pitch': -2.49, 'roll': -1.79, 'pitch_output': -0.4900000000000002, 'roll_output': 1.79, 'servo1_output': 3.3, 'servo2_output': -0.28000000000000025, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 160.95, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.683, 'servo2': 7.484}
{'pitch': -2.49, 'roll': -1.79, 'pitch_output': -0.4900000000000002, 'roll_output': 1.79, 'servo1_output': 3.3, 'servo2_output': -0.28000000000000025, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 123.82, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.683, 'servo2': 7.484}
{'pitch': -2.54, 'roll': -1.81, 'pitch_output': -0.54, 'roll_output': 1.81, 'servo1_output': 3.27, 'servo2_output': -0.3500000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 108.52, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.682, 'servo2': 7.481}
{'pitch': -2.54, 'roll': -1.81, 'pitch_output': -0.54, 'roll_output': 1.81, 'servo1_output': 3.27, 'servo2_output': -0.3500000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 92.5, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.682, 'servo2': 7.481}
{'pitch': -2.47, 'roll': -1.7, 'pitch_output': -0.4700000000000002, 'roll_output': 1.7, 'servo1_output': 3.2299999999999995, 'servo2_output': -0.16999999999999993, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 88.86, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.679, 'servo2': 7.491}
{'pitch': -2.47, 'roll': -1.7, 'pitch_output': -0.4700000000000002, 'roll_output': 1.7, 'servo1_output': 3.2299999999999995, 'servo2_output': -0.16999999999999993, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 79.31, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.679, 'servo2': 7.491}
{'pitch': -2.49, 'roll': -1.6, 'pitch_output': -0.4900000000000002, 'roll_output': 1.6, 'servo1_output': 3.11, 'servo2_output': -0.0900000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 75.75, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.673, 'servo2': 7.495}
{'pitch': -2.49, 'roll': -1.6, 'pitch_output': -0.4900000000000002, 'roll_output': 1.6, 'servo1_output': 3.11, 'servo2_output': -0.0900000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 69.42, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.673, 'servo2': 7.495}
{'pitch': -2.48, 'roll': -1.57, 'pitch_output': -0.48, 'roll_output': 1.57, 'servo1_output': 3.09, 'servo2_output': -0.04999999999999982, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 67.37, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.672, 'servo2': 7.497}
