{'pitch': 13.33, 'roll': 0.44, 'pitch_output': 15.33, 'roll_output': -0.44, 'servo1_output': 16.89, 'servo2_output': 17.77, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 318.06, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.438, 'servo2': 8.487}
{'pitch': 13.32, 'roll': 0.48, 'pitch_output': 15.32, 'roll_output': -0.48, 'servo1_output': 16.84, 'servo2_output': 17.8, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 168.68, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.489}
{'pitch': 13.32, 'roll': 0.48, 'pitch_output': 15.32, 'roll_output': -0.48, 'servo1_output': 16.84, 'servo2_output': 17.8, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 116.6, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.489}
{'pitch': 13.31, 'roll': 0.55, 'pitch_output': 15.31, 'roll_output': -0.55, 'servo1_output': 16.759999999999998, 'servo2_output': 17.86, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 99.4, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.431, 'servo2': 8.492}
{'pitch': 13.31, 'roll': 0.55, 'pitch_output': 15.31, 'roll_output': -0.55, 'servo1_output': 16.759999999999998, 'servo2_output': 17.86, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 82.0, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.431, 'servo2': 8.492}
{'pitch': 13.31, 'roll': 0.55, 'pitch_output': 15.31, 'roll_output': -0.55, 'servo1_output': 16.759999999999998, 'servo2_output': 17.86, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 79.4, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.431, 'servo2': 8.492}
{'pitch': 13.31, 'roll': 0.55, 'pitch_output': 15.31, 'roll_output': -0.55, 'servo1_output': 16.759999999999998, 'servo2_output': 17.86, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 69.83, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.431, 'servo2': 8.492}
{'pitch': 13.31, 'roll': 0.53, 'pitch_output': 15.31, 'roll_output': -0.53, 'servo1_output': 16.78, 'servo2_output': 17.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 67.0, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.432, 'servo2': 8.491}
{'pitch': 13.31, 'roll': 0.53, 'pitch_output': 15.31, 'roll_output': -0.53, 'servo1_output': 16.78, 'servo2_output': 17.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 60.93, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.432, 'servo2': 8.491}
{'pitch': 13.32, 'roll': 0.52, 'pitch_output': 15.32, 'roll_output': -0.52, 'servo1_output': 16.8, 'servo2_output': 17.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 59.56, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.433, 'servo2': 8.491}
{'pitch': 13.32, 'roll': 0.52, 'pitch_output': 15.32, 'roll_output': -0.52, 'servo1_output': 16.8, 'servo2_output': 17.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 55.28, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.433, 'servo2': 8.491}
{'pitch': 13.33, 'roll': 0.52, 'pitch_output': 15.33, 'roll_output': -0.52, 'servo1_output': 16.810000000000002, 'servo2_output': 17.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 56.13, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.434, 'servo2': 8.492}
{'pitch': 13.33, 'roll': 0.52, 'pitch_output': 15.33, 'roll_output': -0.52, 'servo1_output': 16.810000000000002, 'servo2_output': 17.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 52.77, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.434, 'servo2': 8.492}
{'pitch': 13.33, 'roll': 0.51, 'pitch_output': 15.33, 'roll_output': -0.51, 'servo1_output': 16.82, 'servo2_output': 17.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 52.36, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.434, 'servo2': 8.491}
{'pitch': 13.33, 'roll': 0.51, 'pitch_output': 15.33, 'roll_output': -0.51, 'servo1_output': 16.82, 'servo2_output': 17.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 49.7, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.434, 'servo2': 8.491}
{'pitch': 13.33, 'roll': 0.5, 'pitch_output': 15.33, 'roll_output': -0.5, 'servo1_output': 16.83, 'servo2_output': 17.83, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 49.54, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.435, 'servo2': 8.491}
{'pitch': 13.33, 'roll': 0.5, 'pitch_output': 15.33, 'roll_output': -0.5, 'servo1_output': 16.83, 'servo2_output': 17.83, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 47.36, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.435, 'servo2': 8.491}
{'pitch': 13.34, 'roll': 0.51, 'pitch_output': 15.34, 'roll_output': -0.51, 'servo1_output': 16.83, 'servo2_output': 17.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 48.36, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.435, 'servo2': 8.492}
{'pitch': 13.34, 'roll': 0.51, 'pitch_output': 15.34, 'roll_output': -0.51, 'servo1_output': 16.83, 'servo2_output': 17.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 46.47, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.435, 'servo2': 8.492}
