{'pitch': 3.86, 'roll': -5.02, 'pitch_output': 5.859999999999999, 'roll_output': 5.02, 'servo1_output': 12.879999999999999, 'servo2_output': 2.84, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 335.68, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.216, 'servo2': 7.658}
{'pitch': 3.92, 'roll': -4.88, 'pitch_output': 5.92, 'roll_output': 4.88, 'servo1_output': 12.8, 'servo2_output': 3.04, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 174.53, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.211, 'servo2': 7.669}
{'pitch': 3.92, 'roll': -4.88, 'pitch_output': 5.92, 'roll_output': 4.88, 'servo1_output': 12.8, 'servo2_output': 3.04, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 120.47, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.211, 'servo2': 7.669}
{'pitch': 3.86, 'roll': -4.93, 'pitch_output': 5.859999999999999, 'roll_output': 4.93, 'servo1_output': 12.79, 'servo2_output': 2.9299999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 102.43, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.211, 'servo2': 7.663}
{'pitch': 3.86, 'roll': -4.93, 'pitch_output': 5.859999999999999, 'roll_output': 4.93, 'servo1_output': 12.79, 'servo2_output': 2.9299999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 84.42, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.211, 'servo2': 7.663}
{'pitch': 3.89, 'roll': -5.07, 'pitch_output': 5.890000000000001, 'roll_output': 5.07, 'servo1_output': 12.96, 'servo2_output': 2.8200000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 78.49, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.22, 'servo2': 7.657}
{'pitch': 3.89, 'roll': -5.07, 'pitch_output': 5.890000000000001, 'roll_output': 5.07, 'servo1_output': 12.96, 'servo2_output': 2.8200000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 69.05, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.22, 'servo2': 7.657}
{'pitch': 3.77, 'roll': -4.79, 'pitch_output': 5.77, 'roll_output': 4.79, 'servo1_output': 12.559999999999999, 'servo2_output': 2.9799999999999995, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 68.83, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.198, 'servo2': 7.666}
{'pitch': 3.77, 'roll': -4.79, 'pitch_output': 5.77, 'roll_output': 4.79, 'servo1_output': 12.559999999999999, 'servo2_output': 2.9799999999999995, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 62.55, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.198, 'servo2': 7.666}
{'pitch': 3.36, 'roll': -4.61, 'pitch_output': 5.359999999999999, 'roll_output': 4.61, 'servo1_output': 11.969999999999999, 'servo2_output': 2.749999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 61.2, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.165, 'servo2': 7.653}
{'pitch': 3.36, 'roll': -4.61, 'pitch_output': 5.359999999999999, 'roll_output': 4.61, 'servo1_output': 11.969999999999999, 'servo2_output': 2.749999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 56.76, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.165, 'servo2': 7.653}
