{'pitch': 2.53, 'roll': 20.57, 'pitch_output': 4.529999999999999, 'roll_output': -20.57, 'servo1_output': -14.04, 'servo2_output': 27.1, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 345.69, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.72, 'servo2': 9.006}
{'pitch': 2.17, 'roll': 20.83, 'pitch_output': 4.17, 'roll_output': -20.83, 'servo1_output': -14.659999999999997, 'servo2_output': 27.0, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 180.23, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.686, 'servo2': 9.0}
{'pitch': 2.17, 'roll': 20.83, 'pitch_output': 4.17, 'roll_output': -20.83, 'servo1_output': -14.659999999999997, 'servo2_output': 27.0, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 124.3, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.686, 'servo2': 9.0}
{'pitch': 2.75, 'roll': 20.81, 'pitch_output': 4.75, 'roll_output': -20.81, 'servo1_output': -14.059999999999999, 'servo2_output': 27.56, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 105.14, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.719, 'servo2': 9.031}
{'pitch': 2.75, 'roll': 20.81, 'pitch_output': 4.75, 'roll_output': -20.81, 'servo1_output': -14.059999999999999, 'servo2_output': 27.56, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 86.59, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.719, 'servo2': 9.031}
{'pitch': 3.22, 'roll': 19.91, 'pitch_output': 5.220000000000001, 'roll_output': -19.91, 'servo1_output': -12.69, 'servo2_output': 27.130000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 83.27, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.795, 'servo2': 9.007}
{'pitch': 3.22, 'roll': 19.91, 'pitch_output': 5.220000000000001, 'roll_output': -19.91, 'servo1_output': -12.69, 'servo2_output': 27.130000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 73.15, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.795, 'servo2': 9.007}
{'pitch': 3.38, 'roll': 19.67, 'pitch_output': 5.38, 'roll_output': -19.67, 'servo1_output': -12.290000000000003, 'servo2_output': 27.05, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 69.93, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.817, 'servo2': 9.003}
{'pitch': 3.38, 'roll': 19.67, 'pitch_output': 5.38, 'roll_output': -19.67, 'servo1_output': -12.290000000000003, 'servo2_output': 27.05, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 63.54, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.817, 'servo2': 9.003}
{'pitch': 2.6, 'roll': 19.69, 'pitch_output': 4.6, 'roll_output': -19.69, 'servo1_output': -13.090000000000002, 'servo2_output': 26.29, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 61.9, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.773, 'servo2': 8.961}
{'pitch': 2.6, 'roll': 19.69, 'pitch_output': 4.6, 'roll_output': -19.69, 'servo1_output': -13.090000000000002, 'servo2_output': 26.29, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 57.4, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.773, 'servo2': 8.961}
{'pitch': 2.34, 'roll': 19.95, 'pitch_output': 4.34, 'roll_output': -19.95, 'servo1_output': -13.61, 'servo2_output': 26.29, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 58.08, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.744, 'servo2': 8.961}
{'pitch': 2.34, 'roll': 19.95, 'pitch_output': 4.34, 'roll_output': -19.95, 'servo1_output': -13.61, 'servo2_output': 26.29, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 54.57, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.744, 'servo2': 8.961}
{'pitch': 2.49, 'roll': 20.09, 'pitch_output': 4.49, 'roll_output': -20.09, 'servo1_output': -13.6, 'servo2_output': 26.58, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 54.04, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.744, 'servo2': 8.977}
{'pitch': 2.49, 'roll': 20.09, 'pitch_output': 4.49, 'roll_output': -20.09, 'servo1_output': -13.6, 'servo2_output': 26.58, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 51.27, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.744, 'servo2': 8.977}
{'pitch': 2.4, 'roll': 19.64, 'pitch_output': 4.4, 'roll_output': -19.64, 'servo1_output': -13.24, 'servo2_output': 26.04, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 51.01, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.764, 'servo2': 8.947}
{'pitch': 2.4, 'roll': 19.64, 'pitch_output': 4.4, 'roll_output': -19.64, 'servo1_output': -13.24, 'servo2_output': 26.04, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 48.74, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.764, 'servo2': 8.947}
{'pitch': 1.78, 'roll': 19.61, 'pitch_output': 3.7800000000000002, 'roll_output': -19.61, 'servo1_output': -13.829999999999998, 'servo2_output': 25.39, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 49.71, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.732, 'servo2': 8.911}
{'pitch': 1.78, 'roll': 19.61, 'pitch_output': 3.7800000000000002, 'roll_output': -19.61, 'servo1_output': -13.829999999999998, 'servo2_output': 25.39, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 47.75, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.732, 'servo2': 8.911}
{'pitch': 0.75, 'roll': 19.92, 'pitch_output': 2.75, 'roll_output': -19.92, 'servo1_output': -15.170000000000002, 'servo2_output': 24.67, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 47.69, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.657, 'servo2': 8.871}
{'pitch': 0.75, 'roll': 19.92, 'pitch_output': 2.75, 'roll_output': -19.92, 'servo1_output': -15.170000000000002, 'servo2_output': 24.67, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 46.01, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.657, 'servo2': 8.871}
{'pitch': 0.62, 'roll': 20.12, 'pitch_output': 2.62, 'roll_output': -20.12, 'servo1_output': -15.5, 'servo2_output': 24.740000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 46.3, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.639, 'servo2': 8.874}
